hour,month,Temperature (°C),Humidity (%),Wind Speed (m/s),Rainfall (mm),Solar Irradiance (W/m²)
0,1,27.96610484572973,80.07298513163514,1.9615279486972972,4.9459677668945945,250.78636313808107
0,2,28.008686445323526,79.90810573410295,1.944772229302941,4.875124151220588,249.87559663060293
0,3,28.037744435336023,79.70793420325269,2.0109496837432794,5.127198951684139,250.0054723460887
0,4,27.817616383666664,80.1070935466389,1.9975192044458332,5.121052616865278,247.11035568313886
0,5,28.003843241008067,79.88933112576613,2.0063236228131722,4.758005392946236,249.2704868093817
0,6,27.976098738866664,79.73555725875,1.9526335985933334,4.780843942718334,246.84271780883336
0,7,27.977123481532256,79.68298404037097,2.0421752297612903,5.309229802188709,254.49711478411288
0,8,28.07144245780645,80.02254898904839,1.961828228346774,5.161756872498387,250.2313803644516
0,9,27.97889243815,79.93054001626666,1.9752356902783332,4.877792625295,248.44268991806666
0,10,28.008201693709676,79.97566553851613,1.982627178082258,4.685418799762903,252.25447703629033
0,11,27.949932505083332,80.0270218657,2.0059262532933335,5.2720297472,251.25559759511665
0,12,27.978626257419357,79.89046642116129,1.9375037682145162,5.09787739337258,250.3349124283871
1,1,28.120381912067568,80.24904302789189,1.977067033537838,5.078011517677027,249.31203026725674
1,2,28.08147499913235,79.9030050137647,1.9742568398602942,4.850965227254412,249.90060959558824
1,3,28.166446827728496,80.1815764434543,1.9476581985241936,4.840446789065861,250.9480974309946
1,4,28.084584419444447,79.73528182516667,1.9831107228694445,4.779529383444444,250.5165817076528
1,5,28.048107123346774,80.16629808627688,2.002835217276882,4.889848651282258,249.5359559391129
1,6,27.957299483633335,80.0142397714,1.94730453202,4.852791671138333,250.65840143876665
1,7,27.993692219677417,80.12751958485484,1.9283721069064514,5.191080406980645,251.96016271129034
1,8,28.075032643387097,80.07441499170967,2.0812461100419357,4.733146835419355,247.69556499790323
1,9,27.892894942999998,80.17921571080001,1.9225258499533333,5.306144010155,251.1183585878833
1,10,28.005757094032255,80.14364437980646,2.060759699712903,5.230565523733871,247.940772960629
1,11,28.077753990266665,80.4681364493,2.0732109769616667,4.6871643983333335,252.2704757536667
1,12,28.0634111441129,80.06644351527419,2.0676536456370966,5.09852788823871,249.1943778575645
2,1,28.04253912568919,80.24650796458108,1.9863498318635135,5.000905442998649,250.84588955027027
2,2,28.033912518250002,79.78522859835294,1.9732575860044117,4.85085267897647,250.07185525661765
2,3,27.893484258454304,79.84934117799732,1.959525008076613,4.620959638918011,252.5980556416398
2,4,28.070248428819443,79.82621424170833,2.0167282131569446,5.057254347572222,250.87870324055555
2,5,28.050107309072583,80.15803268712367,1.9804366115577958,4.877393397478494,248.10105903262095
2,6,27.905802692316666,80.08761384341666,2.024703918075,4.747081826855,252.2152998111833
2,7,28.070391050822582,79.79902722759677,2.0096424431225803,4.825183853833871,248.5157041340323
2,8,28.037031121080645,79.94621081990323,1.9603064409516129,4.861574343169354,250.66701144037097
2,9,27.93416643323333,80.17421023346667,1.98447538954,5.283519086316667,253.25953608633336
2,10,28.06510119498387,80.00571607948388,1.9763160138274194,5.006746663312903,251.15411642629033
2,11,28.1333293909,79.5984916564,1.98221043993,5.176378041813334,250.22787158386666
2,12,28.112180721370965,79.94645234629033,2.0441071691306454,4.9893066590241935,251.92296358290324
3,1,28.11880164241892,80.08026436809459,1.9867944747932431,5.236757674598649,246.38263364004052
3,2,28.151122592029413,80.08662958783823,2.074635418736765,5.0310632854764705,250.8032763486765
